Nom_colonne;Nom à mettre;Description;type;Colonne selectionée;Traitement1;Traitement2
LAT         ; latitude; latitude;Float;oui;departement;Pas de donnée manquante
LON         ; longitude; longitude;Float;oui;;Pas de donnée manquante
ALTI        ;altitude; altitude du pied de l'abri ou du pluviomètre si pas d'abri (en m);Int;non;;
AAAAMMJJHH  ;data_mesure; date de la mesure (année mois jour heure);Date;oui;une colonne heure et une date;Pas de donnée manquante
RR1         ;quantite_precipitation; quantité de précipitation tombée en 1 heure (en mm et 1/10 mm);Float;oui;;changer les donnée manquante
DRR1        ;duree_precipitation; durée des précipitations (en mn);Int;oui;;changer les donnée manquante
FF          ;force_vent; force du vent moyenné sur 10 mn;Float;oui;;changer les donnée manquante
DD          ;diretion_vent; direction de FF (en rose de 360);Int;non;;
T           ;temperature_sous_abri; température sous abri instantanée (en °C et 1/10);Float;oui;;changer les donnée manquante
TD          ;temperature_point_rose; température du point de rosée (en °C et 1/10);Float;non;;
DG          ;duree_gel_sous_abri; durée de gel sous abri (T ? 0°C) (en mn);Int;non;;
TN50;temperature_min_air_50;temperature à 50 cm du sol;Float;oui;;à suprimer si les donnée manquante sont à 100
T10         ;temperature_dessous_sol; température à 10 cm au-dessous du sol (en °C et 1/10);Float;non;;
TNSOL       ;temperature_min_air_10; température minimale à 10 cm au-dessus du sol (en °C et 1/10);Float;non;;à suprimer si les donnée manquante sont à 100
DHUMEC      ;duree_humectation; durée d’humectation (en mn);Float;non;;
U           ;humidite_relative; humidité relative (en %);int;non;;
UN          ;humidite_min_dans_heure; humidité relative minimale dans l’heure (en %);int;non;;
HUN         ;heure_un; heure de UN (hhmm);int;non;;
DHUMI40     ;duree_humidite_moy; durée avec humidité ? 40% (en mn);Int;non;;
DHUMI80     ;; durée avec humidité ? 80% (en mn);Int;non;;
TSV         ;tension_vapeur; tension de vapeur (en hPa et 1/10);Float;non;;
PSTAT       ;presion_station; pression station (en hPa et 1/10);Float;non;;
PMERMIN     ;min_horaire_pression_mer; minimum horaire de la pression mer (en hPa et 1/10);Float;non;;
N           ;nebulosite_totale; nébulosité totale (en octa);Float;non;;
VV          ;visibilite; visibilité (en m);Float;oui;;à suprimer si les donnée manquante sont à 100
DVV200      ;duree_visibilite;" durée avec visibilité < 200 m (en mn)	";Int;oui;;à suprimer si les donnée manquante sont à 100
WW          ;code_description; code descriptif du temps présent (WMO Manuel des codes;Int;non;;
SOL         ;etat_sol; état du sol sans neige 0 : surface du sol sèche (sans fissure et sans poussière ni sable meuble en quantité appréciable), 1 : surface du sol humide, 2 : surface du sol mouillée (eau stagnante en mares, 3 : inondé, 4 : surface du sol gelée, 5 : verglas au sol, 6 : poussière ou sable meuble sec ne couvrant pas complètement le sol, 7 : couche fine de poussière ou de sable meuble couvrant complètement le sol, 8 : couche épaisse ou d'épaisseur moyenne de poussière ou de sable meuble couvrant complètement le sol, 9 : très sec avec fissures;Int;non;;
TMER        ;temperature_mer; température de la mer (en °C et 1/10);Float;non;;
HNEIGEF     ;hauteur_neige; hauteur de neige fraîche tombée en 6h;Float;non;;
HNEIGEFI1   ;hauter_neige; hauteur de neige fraîche tombée en 1h;Float;oui;;à suprimer si les donnée manquante sont à 100
ESNEIGE     ;code_description; code descriptif de l’état de la neige pour les postes nivométéorologiques 0 : neige fraîche (ou récente) sèche, 1 : givre de surface, 2 : neige fraîche (ou récente) humide, 3 : neige soufflée non portante, 4 : neige soufflée portante, 5 : vieille neige humide portante ou non portante, 6 : vieille neige sèche et meuble (non croûtée), 7 : croûte de regel non portante, 8 : croûte de regel portante, 9 : surface lisse et glacée;int;non;;
CHARGENEIGE ;charge_neige; charge de la neige (en kg/m2);Float;non;;
GLO         ;rayonnement_global; rayonnement global horaire en heure UTC (en J/cm2);Float;non;;
DIF         ;rayonnement_diffus; rayonnement diffus horaire en heure UTC (en J/cm2);Float;non;;
UV_INDICE   ;indice_uv; indice UV (compris entre 0 et 12);Int;non;;
INFRAR      ;rayonnement_infra; rayonnement infra-rouge horaire en heure UTC (en J/cm2);Float;non;;
INS         ;insolation_horaire; insolation horaire en heure UTC (en mn);Int;non;;
ECOULEMENT  ;niveau_ecoulement; niveau d’écoulement;Float;non;;
