Nom,Adresse,Latitude,Longitude
Disneyland France,"Bd de Parc, 77700 Coupvray, France",48.8673858,2.783593
Musée du Louvre France,"75001 Paris, France",48.8606111,2.337644
Domaine de Versailles (1) France,"Place d'Armes, 78000 Versailles, France",48.8048649,2.1203554
Domaine de Versailles (1) France,"Place d'Armes, 78000 Versailles, France",48.8058749,2.1162814
Domaine de Versailles (1) France,"73 Av. de Paris, 78000 Versailles, France",48.79988549999999,2.1465965
Domaine de Versailles (1) France,"78000 Versailles, France",48.8100786,2.0999674
Domaine de Versailles (1) France,"1 Bd de la Reine, 78000 Versailles, France",48.81094,2.1203828
Domaine de Versailles (1) France,"1 Rue de l'Indépendance Américaine, 78000 Versailles, France",48.8032271,2.1216769
Domaine de Versailles (1) France,"78000 Versailles, France",48.80403339999999,2.1231562
Domaine de Versailles (1) France,"Château de Versailles, Hameau de la reine, 78000 Versailles, France",48.8197835,2.1131489
Domaine de Versailles (1) France,"78160 Marly-le-Roi, France",48.8600282,2.0980239
Domaine de Versailles (1) France,"Château de, Le Petit Trianon, 78000 Versailles, France",48.8156399,2.1096665
Domaine de Versailles (1) France,"78000 Versailles, France",48.8167693,2.1105238
Domaine de Versailles (1) France,"Château De Versailles, Pavillon Dufour, 78000 Versailles, France",48.8039703,2.1216892
Domaine de Versailles (1) France,"12 Rue Saint-Jacques, 78810 Davron, France",48.8641195,1.9456489
Domaine de Versailles (1) France,"78000 Versailles, France",48.8189648,2.1135198
Domaine de Versailles (1) France,"1 Rue de l'Indépendance Américaine, 78000 Versailles, France",48.8031258,2.1216128
Domaine de Versailles (1) France,"Porte Saint-Antoine, 78000 Versailles, France",48.81456250000001,2.1047193
Domaine de Versailles (1) France,"Place d'Armes, 1 Pl. Léon Gambetta, 78000 Versailles, France",48.805052,2.122118
Tour Eiffel France,"Champ de Mars, 5 Av. Anatole France, 75007 Paris, France",48.85837009999999,2.2944813
Centre Pompidou France,"Place Georges-Pompidou, 75004 Paris, France",48.860642,2.352245
Musée d\'Orsay France,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",48.8599614,2.3265614
Cité des sciences et de l\'industrie de La Villette France,"30 Av. Corentin Cariou, 75019 Paris, France",48.8955948,2.3878996
Le Puy du Fou (grand Parc + Cinéscénie) France,"Le Puy du Fou, 85590 Les Epesses, France",46.8915788,-0.9274739999999999
Cité médiévale  (rempart +  château)  (2) France,"1 Rue Viollet le Duc, 11000 Carcassonne, France",43.2068489,2.3640132
Cité médiévale  (rempart +  château)  (2) France,"11000 Carcassonne, France",43.2070519,2.3631087
Parc Astérix France,"Parc Astérix, 60128 Plailly, France",49.1341838,2.5712303
Parc du Futuroscope France,"Av. René Monory, 86360 Chasseneuil-du-Poitou, France",46.6666138,0.3674498
Parc du Futuroscope France,"Av. du Futuroscope, 86360 Chasseneuil-du-Poitou, France",46.6633532,0.3617831
Museum d\'Histoire Naturelle France,"57 Rue Cuvier, 75005 Paris, France",48.8443091,2.3562824
Museum d\'Histoire Naturelle France,"12 Rue Voltaire, 44000 Nantes, France",47.2125419,-1.5647679
Museum d\'Histoire Naturelle France,"13 Bd Amiral Courbet, 30000 Nîmes, France",43.8375934,4.3624592
Museum d\'Histoire Naturelle France,"Muséum d'histoire naturelle, 1 Av. Albert 1er, 21000 Dijon, France",47.3218869,5.028932699999999
Museum d\'Histoire Naturelle France,"3 Rue du Président Merville, 37000 Tours, France",47.3945977,0.683669
Museum d\'Histoire Naturelle France,"60 Bd Risso, 06300 Nice, France",43.7017462,7.279607500000001
Museum d\'Histoire Naturelle France,"28 Rue Albert 1er, 17000 La Rochelle, France",46.164966,-1.151274
Museum d\'Histoire Naturelle France,"All. René Ménard, 18000 Bourges, France",47.07799929999999,2.3941627
Museum d\'Histoire Naturelle France,"198 Rue Beauvoisine, 76000 Rouen, France",49.4472129,1.0991075
Museum d\'Histoire Naturelle France,"12 Rue Font Neuve, 66000 Perpignan, France",42.6974071,2.899721
Museum d\'Histoire Naturelle France,"Palais Longchamp, Rue Espérandieu, 13004 Marseille, France",43.3038226,5.394616699999999
Museum d\'Histoire Naturelle France,"Pl. du Vieux Marché, 76600 Le Havre, France",49.4876188,0.1090743
Arc de Triomphe France,"Pl. Charles de Gaulle, 75008 Paris, France",48.8737917,2.2950275
Château des Ducs de Bretagne France,"4 Pl. Marc Elder, 44000 Nantes, France",47.21627489999999,-1.5487708
