Name,Commune,2013,2014,2015,2016,2017,Site_web
Disneyland,Marne-la-Vallée,14 900 000,14 200 000,14 800 000,13 370 000,14 860 000,Se rendre sur disneylandparis.com
Musée du Louvre,Paris,9 201 157,9 134 612,8 422 000,6 989 000,8 022 300,Se rendre sur louvre.fr
Domaine de Versailles (1),Versailles,7 527 121,7 700 000,7 357 903,6 701 193,7 714 389,Se rendre sur chateauversailles.fr
Tour Eiffel,Paris,6 740 000,7 097 302,6 917 000,5 934 000,6 207 303,Se rendre sur toureiffel.paris
Centre Pompidou,Paris,3 745 000,3 450 000,3 060 000,3 335 509,3 337 872,Se rendre sur centrepompidou.fr
Musée d\'Orsay,Paris,3 467 320,3 480 609,3 439 832,2 997 622,3 177 842,Se rendre sur musee-orsay.fr
Cité des sciences et de l\'industrie de La Villette,Paris,2 642 255,2 676 000,2 013 046,2 196 194,2 439 072,Se rendre sur cite-sciences.fr
Le Puy du Fou (grand Parc + Cinéscénie),Les Épesses,1 740 000,1 912 000,2 050 000,2 150 000,2 260 000,Se rendre sur puydufou.com
Cité médiévale  (rempart +  château)  (2),Carcassonne,nd,nd,1 924 505,1 930 975,2 154 331,Se rendre sur tourisme-carcassonne.fr
Parc Astérix,Plailly,1 620 000,1 700 000,1 850 000,1 850 000,2 030 000,Se rendre sur parcasterix.fr
Parc du Futuroscope,Chasseneuil-du-Poitou,1 460 000,1 650 000,1 830 000,1 900 000,2 000 000,Se rendre sur futuroscope.com
Museum d\'Histoire Naturelle,Paris,1 934 308,nd,910 900,1 586 450,1 763 262,Se rendre sur mnhn.fr
Arc de Triomphe,Paris,1 775 054,1 751 046,1 760 694,1 342 361,1 583 260,Se rendre sur paris-arc-de-triomphe.fr
Château des Ducs de Bretagne,Nantes,1 301 825,1 448 212,1 324 507,1 380 790,1 471 741,Se rendre sur chateaunantes.fr
Zoo parc de Beauval,Saint-Aignan,910 000,912 000,1 100 000,1 350 000,1 440 694,Se rendre sur zoobeauval.com
Galeries nationales du Grand Palais,Paris,1 423 626,1 855 346,1 738 089,1 130 556,1 412 060,Se rendre sur grandpalais.fr
Fondation Louis Vuitton,Paris,nd,nd,nd,1 021 727,1 402 245,Se rendre sur fondationlouisvuitton.fr
Cathédrale de Reims,Reims,1 500 000,1 500 000,890 000,1 153 871,1 329 393,Se rendre sur cathedrale-reims.fr
Cimetière américain d\'Omaha,Colleville-sur-Mer,1 248 411,2 126 940,1 733 574,1 314 605,1 328 815,Se rendre sur musee-memorial-omaha.com
Parc Marineland,Antibes,1 300 000,1 300 000,1 300 000,1 300 000,1 300 000,Se rendre sur marineland.fr
Abbaye du Mont-Saint-Michel,Mont-Saint-Michel,1 184 365,1 223 257,1 259 873,1 174 124,1 245 407,Se rendre sur abbaye-mont-saint-michel.fr
Cathédrale Saint-Just et Saint Pasteur,Narbonne,nd,nd,787 819,780 602,1 242 412,Se rendre sur audetourisme.com
Musée de l\'armée,Paris,1 375 014,1 525 030,1 410 191,1 206 065,1 176 984,Se rendre sur musee-armee.fr
Musée du quai Branly,Paris,1 307 326,1 495 817,1 301 277,1 151 922,1 173 712,Se rendre sur quaibranly.fr
Petit Palais,Paris,528 972,996 469,808 324,885 798,1 171 220,Se rendre sur petitpalais.paris.fr
